01_069,"Rice, white, polished, boiled* (without salt)","Riz, blanc, poli, bouilli* (sans sel)",01_069,"Rice, white, polished, boiled* (without salt), drained","Riz, blanc, poli, bouilli* (sans sel), égoutté"
01_037,"Rice, white, raw","Riz, blanc, cru",01_037,"Rice, white, raw","Riz, blanc, cru"
01_038,"Rice, white, boiled* (without salt)","Riz, blanc, bouilli* (sans sel)",01_038,"Rice, white, boiled* (without salt), drained","Riz, blanc, bouilli* (sans sel), égoutté"
01_039,"Sorghum, whole grain, raw ","Sorgho, grain entier, cru",01_039,"Sorghum, whole grains, raw","Sorgho, grains entiers, cru"
01_042,"Sorghum, whole grain, boiled* (without salt)","Sorgho, grain entier, bouilli* (sans sel)",01_042,"Sorghum, whole grains, boiled* (without salt), drained","Sorgho, grains entiers, bouilli* (sans sel), égoutté"
01_041,"Sorghum, whole grain, red, raw","Sorgho, grain entier, rouge, cru",01_041,"Sorghum, whole grains, red, raw","Sorgho, grains entiers, rouge, cru"
01_070,"Sorghum, whole grain, red, boiled* (without salt)","Sorgho, grain entier, rouge, bouilli* (sans sel)",01_070,"Sorghum, whole grains, red, boiled* (without salt), drained","Sorgho, grains entiers, rouge, bouilli* (sans sel), égoutté"
01_040,"Sorghum, whole grain, white, raw","Sorgho, grain entier, blanc, cru",01_040,"Sorghum, whole grains, white, raw","Sorgho, grains entiers, blanc, cru"
01_071,"Sorghum, whole grain, white, boiled* (without salt)","Sorgho, grain entier, blanc, bouilli* (sans sel)",01_071,"Sorghum, whole grains, white, boiled* (without salt), drained","Sorgho, grains entiers, blanc, bouilli* (sans sel), égoutté"
01_072,"Sorghum, flour, degermed","Sorgho, farine, dégermé",01_072,"Sorghum, flour, degermed","Sorgho, farine, dégermé"
01_073,"Wheat, bran","Blé, son",01_073,"Wheat, bran, raw","Blé, son, cru"
01_043,"Wheat flour, white","Blé, farine, blanc",01_043,"Wheat flour, white, unfortified","Farine de blé, blanche, non enrichie"
