Code,Food name in English,Food name in French,BiblioID/Source,Scientific name,FoodEx2 Code,FoodEx2 Description,Exact Match (Yes/No),Comments
01_007,"Maize, yellow, whole kernel, boiled* (without salt), drained","Maïs, jaune, grain entier, bouilli* (sans sel), égoutté",calc. from / de 01_006,Zea mays,A002P#F28.A07GL$F10.A0F5H$F10.A06HR$F10.A0CQE,"Maize meal, PROCESS = Boiling, QUALITATIVE-INFO = Yellow, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Without added salt",Yes,"White maize type missing, it was added as qualitative info but not as a different variety"
01_097,"Millet dough (tchobal/fura), from decorticated millet only, cooked","Mil, pâte (tchobal/fura), pure, de mil décortiqué, cuite","BF1018, GH2000",Pennisetum glaucum,A009P#F28.A0BA1$F28.A07LC$F04.A001A,"Miscellaneous doughs, PROCESS = Cooking and similar thermal preparation processes, PROCESS = Removal of external layer, INGREDIENT = Pearl millet grain",Yes,
01_153,"Millet dough (tô), from whole millet only, cooked","Mil, pâte (tô), pure, de mil complet, cuite","BF1018, GH2000, 01_097",Pennisetum glaucum,A009P#F28.A0BA1$F04.A001A$F10.A06HR,"Miscellaneous doughs, PROCESS = Cooking and similar thermal preparation processes, INGREDIENT = Pearl millet grain, QUALITATIVE-INFO = Integral /not refined",Yes,
01_102,"Millet porridge, fermented (hausa koko/ben saalga), from whole millet grains only, cooked","Mil, bouillie, fermentée (hausa koko/ben saalga), pure, de mil complet, cuite","2R, GH2000",Pennisetum glaucum,A0F0V#F04.A001A$F10.A06HR,"Porridge (ready to eat), INGREDIENT = Pearl millet grain, QUALITATIVE-INFO = Integral /not refined",Yes,
01_161,"Moui béinré (Burkina Faso)*: rice porridge with water, milk and sugar","Moui béinré (Burkina Faso)*: bouillie de riz avec eau, lait et sucre",calc. from recipe / de recette,,-,-,-,
01_158,Moui naagdme (Burkina Faso)*: rice with fish and vegetables,Moui naagdme (Burkina Faso)*: riz avec poisson et légumes,calc. from recipe / de recette,,-,-,-,
01_159,"Moui nin kalogo (Burkina Faso)*: rice with fish, onion and fermented African locust beans","Moui nin kalogo (Burkina Faso)*: riz avec poisson, oignon et néré fermenté",calc. from recipe / de recette,,-,-,-,
01_101,"Oats, rolled, raw","Avoine, flocons, cru","AU14(02A10349), SA10(3304), UK7(11-788), US28(08120)",Avena sativa,A00DH#F28.A07HS,"Oat rolled grains, PROCESS = Raw, no heat treatment",Yes,
01_133,"Oats, porridge* (without salt)","Avoine, bouillie* (sans sel)",calc. from / de 01_101,Avena sativa,A00EQ#F10.A0CQE,"Oat porridge, QUALITATIVE-INFO = Without added salt",Yes,
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMV 8201, grain entier, cru (Burkina Faso), n=1","PH262, 01_017",Pennisetum glaucum ,A001A#F28.A07HS$F10.A06HR,"Pearl millet grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined",No,
01_019,"Pearl millet, IKMP 1 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 1, grain entier, cru (Burkina Faso), n=1","PH262, 01_017",Pennisetum glaucum ,A001A#F28.A07HS$F10.A06HR,"Pearl millet grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined",No,
